CustomerID,Recency,Frequency,Monetary,predicted_clv
12346.0,325,1,77183.6,71857.69359999988
12347.0,1,7,4310.0,4307.994199999998
12348.0,74,4,1797.24,1797.23
12349.0,18,1,1757.55,1758.1105999999997
12350.0,309,1,334.40000000000003,334.4273000000005
12352.0,35,8,2506.04,2505.4884000000025
12353.0,203,1,89.0,89.07600000000004
12354.0,231,1,1079.4,1079.4473999999993
12355.0,213,1,459.4,458.8569999999999
12356.0,22,3,2811.43,2811.695899999996
12357.0,32,1,6207.67,6188.874000000005
12358.0,1,2,1168.06,1167.854099999999
12359.0,57,4,6372.58,6354.527000000002
12360.0,51,3,2662.06,2661.9487999999983
12361.0,286,1,189.9,190.2946999999999
12362.0,2,10,5226.2300000000005,5219.009599999996
12363.0,109,2,552.0,551.7978000000002
12364.0,7,4,1313.1,1313.9943999999998
12365.0,290,2,641.38,641.445999999999
12367.0,3,1,168.9,168.7834999999998
12370.0,50,4,3545.69,3545.9148000000023
12371.0,44,2,1887.96,1887.4626999999994
12372.0,71,3,1298.04,1298.0381999999977
12373.0,310,1,364.6,364.7028999999999
12374.0,24,1,742.9300000000001,743.0088999999997
12375.0,10,2,457.5,457.708
12377.0,314,2,1628.12,1627.563500000001
12378.0,129,1,4008.62,4012.325699999996
12379.0,81,2,852.24,852.2891000000002
12380.0,21,4,2724.81,2731.7143999999976
12381.0,4,5,1845.31,1844.8310999999985
12383.0,184,5,1850.56,1850.8259999999982
12384.0,28,2,585.27,585.0577000000002
12386.0,337,2,401.9,401.04177000000027
12388.0,15,6,2780.6600000000003,2780.3441000000016
12390.0,79,1,549.84,549.9149999999989
12391.0,21,1,460.89,460.7569999999998
12393.0,71,4,1582.6,1581.6174000000008
12394.0,63,2,1272.48,1271.6458999999995
12395.0,18,12,3018.63,3019.3884000000007
12397.0,35,2,2409.9,2409.589299999999
12398.0,45,1,1635.66,1635.4806000000017
12399.0,118,4,1108.65,1108.7671999999989
12401.0,302,1,84.3,85.12459999999999
12402.0,322,1,225.6,225.7649000000002
12403.0,49,1,427.7,427.6916000000004
12405.0,148,1,1710.39,1709.940800000002
12406.0,21,2,3415.3,3412.0506999999943
12407.0,49,5,1708.12,1707.7550999999987
12408.0,32,5,2888.55,2887.514699999996
12409.0,78,3,11072.67,11108.879200000001
12410.0,308,2,693.33,693.4793999999997
12412.0,74,3,1226.88,1226.598499999999
12413.0,66,3,758.1,757.9209999999999
12414.0,216,3,562.4100000000001,562.5157000000011
12415.0,23,21,124914.53,123069.24189999994
12417.0,2,9,3649.1,3643.037499999996
12418.0,112,1,668.58,668.5548000000008
12420.0,63,1,600.39,600.1964999999998
12421.0,15,4,807.04,807.1820000000002
12422.0,95,3,803.5600000000001,803.4396999999994
12423.0,0,8,1859.31,1858.9365000000014
12424.0,162,2,1760.96,1760.4101999999998
12425.0,77,1,777.2,777.1839199999994
12426.0,194,1,582.73,582.7013000000002
12427.0,21,3,825.8000000000001,825.9083000000008
12428.0,25,9,7956.46,7955.1148999999905
12429.0,8,4,3750.4,3750.7694000000033
12430.0,42,1,256.4,256.33180000000016
12431.0,35,15,6487.45,6487.737900000003
12432.0,42,5,5059.32,5059.798199999999
12433.0,0,7,13375.87,13396.045700000015
12434.0,84,2,806.14,806.3530999999999
12435.0,79,2,7829.89,7829.123599999987
12436.0,99,1,509.01,508.9119000000003
12437.0,1,18,4951.41,4947.373999999995
12438.0,13,2,2906.85,2909.416
12441.0,366,1,173.55,173.61189999999976
12442.0,2,1,172.06,172.03289999999998
12444.0,20,5,5005.46,5010.668700000008
12445.0,21,1,133.4,133.40330000000003
12446.0,57,1,1002.31,1002.3342999999993
12447.0,242,1,476.49,476.33259999999956
12448.0,43,1,449.45,449.3734999999997
12449.0,21,4,4067.29,4068.815899999996
12450.0,155,2,197.88,197.8522999999999
12451.0,10,5,9035.52,9038.234100000007
12452.0,16,2,430.5700000000001,430.56189999999987
12453.0,133,1,707.09,706.9618999999991
12454.0,55,1,3528.34,3527.9709000000043
12455.0,72,6,2466.86,2464.5237999999995
12456.0,43,3,3181.04,3181.053199999999
12457.0,65,7,2363.23,2362.9905000000017
